call_id,call_ts,caller_lat,caller_lon,location_text,category,jurisdiction,response_ts,response_outcome,response_time_min,is_festival
86ce8343-32a8-4bee-b681-f789f017a5f4,2025-05-23 23:38:43,15.418801,74.007952,Ponda - near landmark 189,medical,Ponda,2025-05-23 23:39:43,resolved,1.0,0
2ddd31f3-0d80-4f23-bad5-755f40cc49ef,2024-10-27 01:04:47,15.210967,74.075376,Curchorem - near landmark 9,crime,Curchorem,2024-10-27 01:25:47,no_response,17.0,1
ac88da96-4a87-4d89-823e-6691bd4b253b,2024-12-11 22:36:33,15.476816,73.844077,Panaji - near landmark 57,crime,Panaji,2024-12-11 22:44:33,resolved,4.0,0
0081a71f-78a8-4669-ab74-1530c1b17544,2025-03-10 16:41:14,15.463178,73.776052,Panaji - near landmark 179,women_safety,Panaji,2025-03-10 16:43:14,resolved,2.0,0
2fdd10ac-794e-48aa-ac6c-6fb40be3f796,2025-01-03 20:42:15,15.260659,73.920731,Margao - near landmark 92,women_safety,Margao,2025-01-03 20:43:15,resolved,2.0,0
158349d9-021a-4e6e-9295-5c0b3d2becf7,2025-08-12 20:58:32,15.508832,73.811469,Panaji - near landmark 97,women_safety,Panaji,2025-08-12 21:04:32,resolved,7.0,1
fc00cf41-58a6-4789-96aa-42d5eff0ce23,2025-01-09 02:22:30,15.714981,74.014249,Valpoi - near landmark 148,medical,Valpoi,2025-01-09 02:26:30,resolved,1.0,0
ca1f9b90-43fb-4f6d-9d12-1175dd2b9622,2024-11-30 22:00:54,15.486047,73.852476,Panaji - near landmark 21,accident,Panaji,2024-11-30 22:03:54,resolved,1.0,0
f70dbbc7-8cb6-4359-a930-8a2b0c03d394,2025-08-19 20:58:07,15.151054,74.122506,Quepem - near landmark 42,other,Quepem,2025-08-19 21:16:07,escalated,15.0,0
ff6764f6-ed92-4045-88fb-6d6021b59bc8,2024-12-07 14:30:09,15.314353,73.959631,Margao - near landmark 137,accident,Margao,2024-12-07 14:35:09,resolved,5.0,0
760042d2-3137-4481-8e49-e873fcfce5fa,2025-06-27 21:42:35,14.968881,74.058714,Canacona - near landmark 176,accident,Canacona,2025-06-27 21:44:35,pending,1.0,0
a89b2ad8-a356-4ab5-99a3-7550fc2d42f8,2025-01-21 04:17:22,15.494933,73.807492,Panaji - near landmark 81,crime,Panaji,2025-01-21 04:31:22,pending,16.0,0
c78921ca-d0e1-4af6-96ca-bf549b5262b0,2025-02-20 19:52:56,15.76393,74.050938,Valpoi - near landmark 55,medical,Valpoi,2025-02-20 19:59:56,resolved,4.0,0
d72b0331-3378-4087-88f7-b47bc4625f21,2025-02-17 21:18:43,15.172196,74.126538,Quepem - near landmark 64,accident,Quepem,2025-02-17 21:33:43,resolved,15.0,0
bd339d3e-fd4c-4606-8805-73b7d36e1ae0,2025-04-14 22:23:16,14.94951,73.991114,Canacona - near landmark 93,medical,Canacona,2025-04-14 22:38:16,resolved,11.0,0
f3eac9d4-19e9-4617-bf4a-e871146a47c8,2024-12-11 09:58:23,15.407597,73.831349,Vasco - near landmark 194,medical,Vasco,2024-12-11 09:59:23,resolved,2.0,0
